time,MB,MB_err,SMB,SMB_err,D,D_err,BMB,BMB_err
1840-01-01,0.272769,0.372525,1.407972,0.302918,1.073991,0.213435,0.061212,0.038220
1841-01-01,0.305809,0.356626,1.438253,0.284199,1.073991,0.212174,0.058454,0.037356
1842-01-01,-0.278525,0.356369,0.857085,0.281043,1.073991,0.215736,0.061620,0.038363
1843-01-01,-0.315155,0.371316,0.822635,0.301422,1.073991,0.213270,0.063799,0.039190
1844-01-01,-0.467526,0.368980,0.670860,0.298957,1.073991,0.212640,0.064395,0.039434
1845-01-01,-0.289452,0.414820,0.877517,0.348568,1.098035,0.221024,0.068935,0.041528
1846-01-01,0.228963,0.359523,1.377278,0.281549,1.089579,0.220421,0.058736,0.037436
1847-01-01,0.486384,0.369838,1.638130,0.295748,1.092452,0.218859,0.059295,0.037600
1848-01-01,-0.412524,0.415131,0.775998,0.344275,1.119104,0.228174,0.069418,0.041774
1849-01-01,0.146684,0.381064,1.321846,0.304398,1.113113,0.225983,0.062048,0.038518
1850-01-01,-0.147839,0.393800,1.035201,0.320464,1.117392,0.225353,0.065648,0.039972
1851-01-01,0.093023,0.381702,1.253723,0.309517,1.097566,0.219955,0.063134,0.038927
1852-01-01,-0.197545,0.413363,1.000659,0.340483,1.129985,0.230750,0.068220,0.041172
1853-01-01,-0.234699,0.400681,0.983892,0.318925,1.152664,0.239216,0.065927,0.040096
1854-01-01,-0.024559,0.413165,1.186518,0.337589,1.144147,0.234722,0.066930,0.040554
1855-01-01,0.195779,0.378118,1.396519,0.294555,1.139929,0.234010,0.060812,0.038084
1856-01-01,0.287180,0.405595,1.487593,0.330967,1.135935,0.231106,0.064478,0.039469
1857-01-01,-0.451702,0.420280,0.776181,0.342800,1.158227,0.239517,0.069657,0.041897
1858-01-01,-0.449533,0.393697,0.767431,0.312461,1.150891,0.236120,0.066073,0.040161
1859-01-01,-0.081404,0.359909,1.111478,0.276523,1.132369,0.227216,0.060513,0.037984
1860-01-01,-0.077332,0.389721,1.114456,0.314774,1.126562,0.226311,0.065226,0.039787
1861-01-01,0.152605,0.357324,1.332657,0.274454,1.120897,0.225709,0.059155,0.037559
1862-01-01,0.173815,0.361119,1.342598,0.284118,1.108060,0.219626,0.060723,0.038054
1863-01-01,0.377278,0.336144,1.496526,0.263650,1.062825,0.205243,0.056423,0.036839
1864-01-01,0.258638,0.340081,1.356113,0.275351,1.038516,0.196037,0.058959,0.037501
1865-01-01,-0.003836,0.331636,1.091137,0.266192,1.035378,0.194174,0.059596,0.037692
1866-01-01,-0.121584,0.328561,0.958421,0.265613,1.019443,0.189626,0.060562,0.038000
1867-01-01,-0.184461,0.365492,0.922138,0.304658,1.041103,0.197928,0.065496,0.039905
1868-01-01,0.394101,0.333955,1.484019,0.269631,1.031893,0.193489,0.058025,0.037239
1869-01-01,0.096200,0.350303,1.207591,0.285861,1.049743,0.198805,0.061649,0.038374
1870-01-01,-0.029039,0.355622,1.098284,0.288882,1.064149,0.203709,0.063174,0.038942
1871-01-01,-0.168636,0.389039,0.988794,0.322999,1.090210,0.212996,0.067220,0.040690
1872-01-01,-0.106367,0.413469,1.084174,0.345620,1.120979,0.223051,0.069562,0.041848
1873-01-01,0.192796,0.363805,1.361702,0.289642,1.107388,0.216777,0.061518,0.038327
1874-01-01,-0.157270,0.369930,1.032773,0.291342,1.126439,0.224585,0.063603,0.039112
1875-01-01,0.140762,0.366687,1.328030,0.288004,1.125808,0.223709,0.061460,0.038307
1876-01-01,0.055614,0.369754,1.241171,0.292273,1.123159,0.223161,0.062399,0.038647
1877-01-01,-0.685661,0.385105,0.510565,0.311024,1.127682,0.223298,0.068543,0.041332
1878-01-01,0.165515,0.373001,1.337559,0.302855,1.108182,0.214174,0.063861,0.039215
1879-01-01,0.011870,0.374112,1.193023,0.299895,1.117046,0.220174,0.064107,0.039315
1880-01-01,0.046391,0.379452,1.232284,0.307590,1.121101,0.218640,0.064792,0.039601
1881-01-01,-0.084487,0.359724,1.102315,0.281297,1.124381,0.220859,0.062421,0.038655
1882-01-01,-0.181827,0.352584,1.003316,0.272239,1.123118,0.220722,0.062025,0.038509
1883-01-01,-0.118256,0.368328,1.056000,0.294500,1.109649,0.217654,0.064606,0.039523
1884-01-01,0.053418,0.348459,1.212676,0.273171,1.098626,0.212969,0.060633,0.038024
1885-01-01,-0.111960,0.358829,1.047799,0.285488,1.096323,0.213846,0.063436,0.039045
1886-01-01,-0.104594,0.349702,1.047250,0.277087,1.089151,0.209791,0.062693,0.038757
1887-01-01,-0.105138,0.352408,1.048670,0.280010,1.090883,0.210421,0.062926,0.038846
1888-01-01,-0.141530,0.411001,1.049678,0.345682,1.120510,0.218229,0.070698,0.042444
1889-01-01,0.513246,0.374795,1.688798,0.304302,1.113113,0.215353,0.062438,0.038662
1890-01-01,-0.100225,0.358315,1.086006,0.282111,1.122772,0.217435,0.063460,0.039055
1891-01-01,-0.126881,0.382241,1.071393,0.308787,1.132104,0.221681,0.066170,0.040205
1892-01-01,-0.349740,0.378040,0.861620,0.299683,1.144921,0.226887,0.066440,0.040328
1893-01-01,-0.102030,0.388624,1.123068,0.311406,1.158267,0.228942,0.066831,0.040508
1894-01-01,-0.115805,0.357247,1.079501,0.278349,1.132226,0.220531,0.063079,0.038906
1895-01-01,0.271208,0.382056,1.474719,0.309067,1.139073,0.221106,0.064439,0.039453
1896-01-01,0.094742,0.375592,1.303017,0.297898,1.143515,0.225298,0.064760,0.039588
1897-01-01,-0.110768,0.370625,1.094390,0.294058,1.140010,0.222065,0.065148,0.039753
1898-01-01,0.531372,0.368230,1.716880,0.295274,1.123811,0.216640,0.061698,0.038391
1899-01-01,-0.152779,0.368302,1.032361,0.295057,1.119552,0.216777,0.065588,0.039945
1900-01-01,-0.616992,0.400965,0.604433,0.330050,1.149567,0.223572,0.071859,0.043077
1901-01-01,0.431182,0.363375,1.631625,0.286003,1.139073,0.220859,0.061370,0.038275
1902-01-01,-0.213551,0.398448,1.012799,0.327184,1.156495,0.223489,0.069855,0.042000
1903-01-01,-0.430589,0.356670,0.788367,0.272308,1.154416,0.226942,0.064540,0.039495
1904-01-01,-0.840791,0.380170,0.406297,0.297685,1.178379,0.232805,0.068709,0.041415
1905-01-01,-0.163272,0.369561,1.078218,0.285970,1.176463,0.230695,0.065027,0.039701
1906-01-01,-0.513153,0.379498,0.717680,0.300642,1.162933,0.227928,0.067899,0.041016
1907-01-01,-0.431993,0.365037,0.810036,0.280573,1.176647,0.230092,0.065383,0.039855
1908-01-01,-0.469008,0.393099,0.778655,0.317765,1.177543,0.227544,0.070120,0.042138
1909-01-01,-0.341267,0.381857,0.913983,0.298029,1.187732,0.235216,0.067519,0.040833
1910-01-01,-0.268753,0.371286,0.976471,0.289932,1.179051,0.228421,0.066172,0.040206
1911-01-01,0.155701,0.385398,1.404490,0.305126,1.182699,0.231983,0.066090,0.040169
1912-01-01,-0.429383,0.384557,0.825063,0.304517,1.185673,0.231161,0.068772,0.041446
1913-01-01,-0.264518,0.364881,0.984167,0.277787,1.183840,0.233243,0.064845,0.039624
1914-01-01,-0.035686,0.331533,1.172682,0.245733,1.148568,0.219325,0.059800,0.037755
1915-01-01,-0.125940,0.373036,1.087747,0.299149,1.146714,0.219133,0.066973,0.040574
1916-01-01,0.333650,0.375692,1.543116,0.302747,1.144065,0.218859,0.065401,0.039863
1917-01-01,-0.411553,0.370755,0.807608,0.297732,1.151034,0.217079,0.068127,0.041127
1918-01-01,-0.022067,0.339568,1.168926,0.262517,1.128742,0.211900,0.062251,0.038592
